"","Date","Line Item","Value","FY","FM","Quarter","Month","Group"
"1",2015-01-01,"Storage_Income",0,"2015","10","4","Jan","FY15 Q4"
"2",2015-02-01,"Storage_Income",1813.02,"2015","11","4","Feb","FY15 Q4"
"3",2015-03-01,"Storage_Income",59003.98,"2015","12","4","Mar","FY15 Q4"
"4",2015-04-01,"Storage_Income",62756.11,"2016","1","1","Apr","FY15 Q4"
"5",2015-05-01,"Storage_Income",64547.28,"2016","2","1","May","FY15 Q4"
"6",2015-06-01,"Storage_Income",95258.44,"2016","3","1","Jun","FY15 Q4"
"7",2015-07-01,"Storage_Income",70362.09,"2016","4","2","Jul","FY15 Q4"
"8",2015-08-01,"Storage_Income",69222.72,"2016","5","2","Aug","FY15 Q4"
"9",2015-09-01,"Storage_Income",74188.65,"2016","6","2","Sep","FY15 Q4"
"10",2015-10-01,"Storage_Income",78819.98,"2016","7","3","Oct","FY15 Q4"
"11",2015-11-01,"Storage_Income",74823.45,"2016","8","3","Nov","FY15 Q4"
"12",2015-12-01,"Storage_Income",73924,"2016","9","3","Dec","FY15 Q4"
"13",2016-01-01,"Storage_Income",76942.39,"2016","10","4","Jan","FY15 Q4"
"14",2016-02-01,"Storage_Income",78936.54,"2016","11","4","Feb","FY15 Q4"
"15",2016-03-01,"Storage_Income",77767.9,"2016","12","4","Mar","FY15 Q4"
"16",2016-04-01,"Storage_Income",76635.61,"2017","1","1","Apr","FY15 Q4"
"17",2016-05-01,"Storage_Income",78626.73,"2017","2","1","May","FY15 Q4"
"18",2016-06-01,"Storage_Income",80431.98,"2017","3","1","Jun","FY15 Q4"
"19",2016-07-01,"Storage_Income",83511.94,"2017","4","2","Jul","FY15 Q4"
"20",2016-08-01,"Storage_Income",87522.91,"2017","5","2","Aug","FY15 Q4"
"21",2016-09-01,"Storage_Income",83782.35,"2017","6","2","Sep","FY15 Q4"
"22",2016-10-01,"Storage_Income",86578.05,"2017","7","3","Oct","FY15 Q4"
"23",2016-11-01,"Storage_Income",95334.67,"2017","8","3","Nov","FY15 Q4"
"24",2016-12-01,"Storage_Income",96263.06,"2017","9","3","Dec","FY15 Q4"
"25",2017-01-01,"Storage_Income",98058.25,"2017","10","4","Jan","FY15 Q4"
"26",2017-02-01,"Storage_Income",102700.82,"2017","11","4","Feb","FY15 Q4"
"27",2017-03-01,"Storage_Income",112278.02,"2017","12","4","Mar","FY15 Q4"
"28",2017-04-01,"Storage_Income",113535.8,"2018","1","1","Apr","FY15 Q4"
"29",2017-05-01,"Storage_Income",117362.08,"2018","2","1","May","FY15 Q4"
"30",2017-06-01,"Storage_Income",123422.57,"2018","3","1","Jun","FY15 Q4"
"31",2017-07-01,"Storage_Income",123096.83,"2018","4","2","Jul","FY15 Q4"
"32",2017-08-01,"Storage_Income",129453.92,"2018","5","2","Aug","FY15 Q4"
"33",2017-09-01,"Storage_Income",135230.94,"2018","6","2","Sep","FY15 Q4"
"34",2017-10-01,"Storage_Income",141026.71,"2018","7","3","Oct","FY15 Q4"
"35",2017-11-01,"Storage_Income",148659.69,"2018","8","3","Nov","FY15 Q4"
"36",2017-12-01,"Storage_Income",158140.42,"2018","9","3","Dec","FY15 Q4"
"37",2018-01-01,"Storage_Income",166818.25,"2018","10","4","Jan","FY15 Q4"
"38",2018-02-01,"Storage_Income",163749.51,"2018","11","4","Feb","FY15 Q4"
"39",2018-03-01,"Storage_Income",180222.29,"2018","12","4","Mar","FY15 Q4"
"40",2018-04-01,"Storage_Income",173996.37,"2019","1","1","Apr","FY15 Q4"
"41",2018-05-01,"Storage_Income",181631.04,"2019","2","1","May","FY15 Q4"
"42",2018-06-01,"Storage_Income",179045.03,"2019","3","1","Jun","FY15 Q4"
"43",2015-01-01,"Sales",1239.65,"2015","10","4","Jan","FY15 Q4"
"44",2015-02-01,"Sales",2538.08,"2015","11","4","Feb","FY15 Q4"
"45",2015-03-01,"Sales",7239.43,"2015","12","4","Mar","FY15 Q4"
"46",2015-04-01,"Sales",11642.25,"2016","1","1","Apr","FY15 Q4"
"47",2015-05-01,"Sales",19022.73,"2016","2","1","May","FY15 Q4"
"48",2015-06-01,"Sales",19869.15,"2016","3","1","Jun","FY15 Q4"
"49",2015-07-01,"Sales",23747.18,"2016","4","2","Jul","FY15 Q4"
"50",2015-08-01,"Sales",21786.41,"2016","5","2","Aug","FY15 Q4"
"51",2015-09-01,"Sales",20169.78,"2016","6","2","Sep","FY15 Q4"
"52",2015-10-01,"Sales",17089.15,"2016","7","3","Oct","FY15 Q4"
"53",2015-11-01,"Sales",18396.13,"2016","8","3","Nov","FY15 Q4"
"54",2015-12-01,"Sales",13513.22,"2016","9","3","Dec","FY15 Q4"
"55",2016-01-01,"Sales",16086.97,"2016","10","4","Jan","FY15 Q4"
"56",2016-02-01,"Sales",20060.38,"2016","11","4","Feb","FY15 Q4"
"57",2016-03-01,"Sales",30138.2,"2016","12","4","Mar","FY15 Q4"
"58",2016-04-01,"Sales",35096.86,"2017","1","1","Apr","FY15 Q4"
"59",2016-05-01,"Sales",49521.93,"2017","2","1","May","FY15 Q4"
"60",2016-06-01,"Sales",49398.22,"2017","3","1","Jun","FY15 Q4"
"61",2016-07-01,"Sales",57138.41,"2017","4","2","Jul","FY15 Q4"
"62",2016-08-01,"Sales",52677.62,"2017","5","2","Aug","FY15 Q4"
"63",2016-09-01,"Sales",47400.05,"2017","6","2","Sep","FY15 Q4"
"64",2016-10-01,"Sales",38145.65,"2017","7","3","Oct","FY15 Q4"
"65",2016-11-01,"Sales",29160.87,"2017","8","3","Nov","FY15 Q4"
"66",2016-12-01,"Sales",30628.58,"2017","9","3","Dec","FY15 Q4"
"67",2017-01-01,"Sales",35336.83,"2017","10","4","Jan","FY15 Q4"
"68",2017-02-01,"Sales",35578.02,"2017","11","4","Feb","FY15 Q4"
"69",2017-03-01,"Sales",51250.53,"2017","12","4","Mar","FY15 Q4"
"70",2017-04-01,"Sales",57507.77,"2018","1","1","Apr","FY15 Q4"
"71",2017-05-01,"Sales",67615.19,"2018","2","1","May","FY15 Q4"
"72",2017-06-01,"Sales",76886.9,"2018","3","1","Jun","FY15 Q4"
"73",2017-07-01,"Sales",67456.03,"2018","4","2","Jul","FY15 Q4"
"74",2017-08-01,"Sales",65913.87,"2018","5","2","Aug","FY15 Q4"
"75",2017-09-01,"Sales",55268.73,"2018","6","2","Sep","FY15 Q4"
"76",2017-10-01,"Sales",45585.33,"2018","7","3","Oct","FY15 Q4"
"77",2017-11-01,"Sales",45448.4,"2018","8","3","Nov","FY15 Q4"
"78",2017-12-01,"Sales",42344.71,"2018","9","3","Dec","FY15 Q4"
"79",2018-01-01,"Sales",40061.73,"2018","10","4","Jan","FY15 Q4"
"80",2018-02-01,"Sales",42960.01,"2018","11","4","Feb","FY15 Q4"
"81",2018-03-01,"Sales",59846.8,"2018","12","4","Mar","FY15 Q4"
"82",2018-04-01,"Sales",64160.21,"2019","1","1","Apr","FY15 Q4"
"83",2018-05-01,"Sales",80002.45,"2019","2","1","May","FY15 Q4"
"84",2018-06-01,"Sales",90279.3,"2019","3","1","Jun","FY15 Q4"
"85",2015-01-01,"Sales_System",12,"2015","10","4","Jan","FY15 Q4"
"86",2015-02-01,"Sales_System",20.4,"2015","11","4","Feb","FY15 Q4"
"87",2015-03-01,"Sales_System",0,"2015","12","4","Mar","FY15 Q4"
"88",2015-04-01,"Sales_System",0,"2016","1","1","Apr","FY15 Q4"
"89",2015-05-01,"Sales_System",0,"2016","2","1","May","FY15 Q4"
"90",2015-06-01,"Sales_System",0,"2016","3","1","Jun","FY15 Q4"
"91",2015-07-01,"Sales_System",0,"2016","4","2","Jul","FY15 Q4"
"92",2015-08-01,"Sales_System",0,"2016","5","2","Aug","FY15 Q4"
"93",2015-09-01,"Sales_System",0,"2016","6","2","Sep","FY15 Q4"
"94",2015-10-01,"Sales_System",0,"2016","7","3","Oct","FY15 Q4"
"95",2015-11-01,"Sales_System",9,"2016","8","3","Nov","FY15 Q4"
"96",2015-12-01,"Sales_System",22.95,"2016","9","3","Dec","FY15 Q4"
"97",2016-01-01,"Sales_System",0,"2016","10","4","Jan","FY15 Q4"
"98",2016-02-01,"Sales_System",12.75,"2016","11","4","Feb","FY15 Q4"
"99",2016-03-01,"Sales_System",22.83,"2016","12","4","Mar","FY15 Q4"
"100",2016-04-01,"Sales_System",0,"2017","1","1","Apr","FY15 Q4"
"101",2016-05-01,"Sales_System",53.96,"2017","2","1","May","FY15 Q4"
"102",2016-06-01,"Sales_System",24.65,"2017","3","1","Jun","FY15 Q4"
"103",2016-07-01,"Sales_System",12.77,"2017","4","2","Jul","FY15 Q4"
"104",2016-08-01,"Sales_System",5.2,"2017","5","2","Aug","FY15 Q4"
"105",2016-09-01,"Sales_System",0,"2017","6","2","Sep","FY15 Q4"
"106",2016-10-01,"Sales_System",48.03,"2017","7","3","Oct","FY15 Q4"
"107",2016-11-01,"Sales_System",59.59,"2017","8","3","Nov","FY15 Q4"
"108",2016-12-01,"Sales_System",47,"2017","9","3","Dec","FY15 Q4"
"109",2017-01-01,"Sales_System",0,"2017","10","4","Jan","FY15 Q4"
"110",2017-02-01,"Sales_System",0,"2017","11","4","Feb","FY15 Q4"
"111",2017-03-01,"Sales_System",0,"2017","12","4","Mar","FY15 Q4"
"112",2017-04-01,"Sales_System",0,"2018","1","1","Apr","FY15 Q4"
"113",2017-05-01,"Sales_System",30,"2018","2","1","May","FY15 Q4"
"114",2017-06-01,"Sales_System",0,"2018","3","1","Jun","FY15 Q4"
"115",2017-07-01,"Sales_System",0,"2018","4","2","Jul","FY15 Q4"
"116",2017-08-01,"Sales_System",0,"2018","5","2","Aug","FY15 Q4"
"117",2017-09-01,"Sales_System",0,"2018","6","2","Sep","FY15 Q4"
"118",2017-10-01,"Sales_System",0,"2018","7","3","Oct","FY15 Q4"
"119",2017-11-01,"Sales_System",68.88,"2018","8","3","Nov","FY15 Q4"
"120",2017-12-01,"Sales_System",0,"2018","9","3","Dec","FY15 Q4"
"121",2018-01-01,"Sales_System",65.62,"2018","10","4","Jan","FY15 Q4"
"122",2018-02-01,"Sales_System",0,"2018","11","4","Feb","FY15 Q4"
"123",2018-03-01,"Sales_System",0,"2018","12","4","Mar","FY15 Q4"
"124",2018-04-01,"Sales_System",0,"2019","1","1","Apr","FY15 Q4"
"125",2018-05-01,"Sales_System",0,"2019","2","1","May","FY15 Q4"
"126",2018-06-01,"Sales_System",0,"2019","3","1","Jun","FY15 Q4"
"127",2015-01-01,"Cost_of_Sales",630.27,"2015","10","4","Jan","FY15 Q4"
"128",2015-02-01,"Cost_of_Sales",1551.17,"2015","11","4","Feb","FY15 Q4"
"129",2015-03-01,"Cost_of_Sales",6955.08,"2015","12","4","Mar","FY15 Q4"
"130",2015-04-01,"Cost_of_Sales",6942.77,"2016","1","1","Apr","FY15 Q4"
"131",2015-05-01,"Cost_of_Sales",11301.85,"2016","2","1","May","FY15 Q4"
"132",2015-06-01,"Cost_of_Sales",12009.19,"2016","3","1","Jun","FY15 Q4"
"133",2015-07-01,"Cost_of_Sales",14950.1,"2016","4","2","Jul","FY15 Q4"
"134",2015-08-01,"Cost_of_Sales",13003.77,"2016","5","2","Aug","FY15 Q4"
"135",2015-09-01,"Cost_of_Sales",12112.17,"2016","6","2","Sep","FY15 Q4"
"136",2015-10-01,"Cost_of_Sales",11709.86,"2016","7","3","Oct","FY15 Q4"
"137",2015-11-01,"Cost_of_Sales",11718.59,"2016","8","3","Nov","FY15 Q4"
"138",2015-12-01,"Cost_of_Sales",9454.78,"2016","9","3","Dec","FY15 Q4"
"139",2016-01-01,"Cost_of_Sales",9944.33,"2016","10","4","Jan","FY15 Q4"
"140",2016-02-01,"Cost_of_Sales",11758.51,"2016","11","4","Feb","FY15 Q4"
"141",2016-03-01,"Cost_of_Sales",25863.83,"2016","12","4","Mar","FY15 Q4"
"142",2016-04-01,"Cost_of_Sales",20721.1,"2017","1","1","Apr","FY15 Q4"
"143",2016-05-01,"Cost_of_Sales",27906.28,"2017","2","1","May","FY15 Q4"
"144",2016-06-01,"Cost_of_Sales",30825.56,"2017","3","1","Jun","FY15 Q4"
"145",2016-07-01,"Cost_of_Sales",38123.58,"2017","4","2","Jul","FY15 Q4"
"146",2016-08-01,"Cost_of_Sales",32262.29,"2017","5","2","Aug","FY15 Q4"
"147",2016-09-01,"Cost_of_Sales",29345.8,"2017","6","2","Sep","FY15 Q4"
"148",2016-10-01,"Cost_of_Sales",25826.19,"2017","7","3","Oct","FY15 Q4"
"149",2016-11-01,"Cost_of_Sales",19156.6,"2017","8","3","Nov","FY15 Q4"
"150",2016-12-01,"Cost_of_Sales",19745.8,"2017","9","3","Dec","FY15 Q4"
"151",2017-01-01,"Cost_of_Sales",23673.85,"2017","10","4","Jan","FY15 Q4"
"152",2017-02-01,"Cost_of_Sales",23932.55,"2017","11","4","Feb","FY15 Q4"
"153",2017-03-01,"Cost_of_Sales",43403.5,"2017","12","4","Mar","FY15 Q4"
"154",2017-04-01,"Cost_of_Sales",34818.6,"2018","1","1","Apr","FY15 Q4"
"155",2017-05-01,"Cost_of_Sales",41311.12,"2018","2","1","May","FY15 Q4"
"156",2017-06-01,"Cost_of_Sales",47892.24,"2018","3","1","Jun","FY15 Q4"
"157",2017-07-01,"Cost_of_Sales",41980.65,"2018","4","2","Jul","FY15 Q4"
"158",2017-08-01,"Cost_of_Sales",41864.79,"2018","5","2","Aug","FY15 Q4"
"159",2017-09-01,"Cost_of_Sales",33614.4,"2018","6","2","Sep","FY15 Q4"
"160",2017-10-01,"Cost_of_Sales",29155.8,"2018","7","3","Oct","FY15 Q4"
"161",2017-11-01,"Cost_of_Sales",27268.27,"2018","8","3","Nov","FY15 Q4"
"162",2017-12-01,"Cost_of_Sales",24071.19,"2018","9","3","Dec","FY15 Q4"
"163",2018-01-01,"Cost_of_Sales",24061.55,"2018","10","4","Jan","FY15 Q4"
"164",2018-02-01,"Cost_of_Sales",27690.48,"2018","11","4","Feb","FY15 Q4"
"165",2018-03-01,"Cost_of_Sales",27348.93,"2018","12","4","Mar","FY15 Q4"
"166",2018-04-01,"Cost_of_Sales",40319.99,"2019","1","1","Apr","FY15 Q4"
"167",2018-05-01,"Cost_of_Sales",52838.25,"2019","2","1","May","FY15 Q4"
"168",2018-06-01,"Cost_of_Sales",55348.42,"2019","3","1","Jun","FY15 Q4"
"169",2015-01-01,"Cost_of_Sales_System",0,"2015","10","4","Jan","FY15 Q4"
"170",2015-02-01,"Cost_of_Sales_System",0,"2015","11","4","Feb","FY15 Q4"
"171",2015-03-01,"Cost_of_Sales_System",0,"2015","12","4","Mar","FY15 Q4"
"172",2015-04-01,"Cost_of_Sales_System",0,"2016","1","1","Apr","FY15 Q4"
"173",2015-05-01,"Cost_of_Sales_System",0,"2016","2","1","May","FY15 Q4"
"174",2015-06-01,"Cost_of_Sales_System",0,"2016","3","1","Jun","FY15 Q4"
"175",2015-07-01,"Cost_of_Sales_System",0,"2016","4","2","Jul","FY15 Q4"
"176",2015-08-01,"Cost_of_Sales_System",0,"2016","5","2","Aug","FY15 Q4"
"177",2015-09-01,"Cost_of_Sales_System",0,"2016","6","2","Sep","FY15 Q4"
"178",2015-10-01,"Cost_of_Sales_System",0,"2016","7","3","Oct","FY15 Q4"
"179",2015-11-01,"Cost_of_Sales_System",0,"2016","8","3","Nov","FY15 Q4"
"180",2015-12-01,"Cost_of_Sales_System",0,"2016","9","3","Dec","FY15 Q4"
"181",2016-01-01,"Cost_of_Sales_System",0,"2016","10","4","Jan","FY15 Q4"
"182",2016-02-01,"Cost_of_Sales_System",41.4,"2016","11","4","Feb","FY15 Q4"
"183",2016-03-01,"Cost_of_Sales_System",0,"2016","12","4","Mar","FY15 Q4"
"184",2016-04-01,"Cost_of_Sales_System",39.95,"2017","1","1","Apr","FY15 Q4"
"185",2016-05-01,"Cost_of_Sales_System",10.25,"2017","2","1","May","FY15 Q4"
"186",2016-06-01,"Cost_of_Sales_System",24,"2017","3","1","Jun","FY15 Q4"
"187",2016-07-01,"Cost_of_Sales_System",24.34,"2017","4","2","Jul","FY15 Q4"
"188",2016-08-01,"Cost_of_Sales_System",54.25,"2017","5","2","Aug","FY15 Q4"
"189",2016-09-01,"Cost_of_Sales_System",0,"2017","6","2","Sep","FY15 Q4"
"190",2016-10-01,"Cost_of_Sales_System",0,"2017","7","3","Oct","FY15 Q4"
"191",2016-11-01,"Cost_of_Sales_System",0,"2017","8","3","Nov","FY15 Q4"
"192",2016-12-01,"Cost_of_Sales_System",24.36,"2017","9","3","Dec","FY15 Q4"
"193",2017-01-01,"Cost_of_Sales_System",0,"2017","10","4","Jan","FY15 Q4"
"194",2017-02-01,"Cost_of_Sales_System",24.39,"2017","11","4","Feb","FY15 Q4"
"195",2017-03-01,"Cost_of_Sales_System",209.9,"2017","12","4","Mar","FY15 Q4"
"196",2017-04-01,"Cost_of_Sales_System",22.13,"2018","1","1","Apr","FY15 Q4"
"197",2017-05-01,"Cost_of_Sales_System",49.03,"2018","2","1","May","FY15 Q4"
"198",2017-06-01,"Cost_of_Sales_System",103.56,"2018","3","1","Jun","FY15 Q4"
"199",2017-07-01,"Cost_of_Sales_System",99.15,"2018","4","2","Jul","FY15 Q4"
"200",2017-08-01,"Cost_of_Sales_System",43.35,"2018","5","2","Aug","FY15 Q4"
"201",2017-09-01,"Cost_of_Sales_System",39.6,"2018","6","2","Sep","FY15 Q4"
"202",2017-10-01,"Cost_of_Sales_System",66.38,"2018","7","3","Oct","FY15 Q4"
"203",2017-11-01,"Cost_of_Sales_System",77.46,"2018","8","3","Nov","FY15 Q4"
"204",2017-12-01,"Cost_of_Sales_System",84.9,"2018","9","3","Dec","FY15 Q4"
"205",2018-01-01,"Cost_of_Sales_System",0,"2018","10","4","Jan","FY15 Q4"
"206",2018-02-01,"Cost_of_Sales_System",66.54,"2018","11","4","Feb","FY15 Q4"
"207",2018-03-01,"Cost_of_Sales_System",8.95,"2018","12","4","Mar","FY15 Q4"
"208",2018-04-01,"Cost_of_Sales_System",85.11,"2019","1","1","Apr","FY15 Q4"
"209",2018-05-01,"Cost_of_Sales_System",347.95,"2019","2","1","May","FY15 Q4"
"210",2018-06-01,"Cost_of_Sales_System",183.42,"2019","3","1","Jun","FY15 Q4"
"211",2015-01-01,"Misc_Income",302.21,"2015","10","4","Jan","FY15 Q4"
"212",2015-02-01,"Misc_Income",564.44,"2015","11","4","Feb","FY15 Q4"
"213",2015-03-01,"Misc_Income",4281.95,"2015","12","4","Mar","FY15 Q4"
"214",2015-04-01,"Misc_Income",4781.88,"2016","1","1","Apr","FY15 Q4"
"215",2015-05-01,"Misc_Income",11644.17,"2016","2","1","May","FY15 Q4"
"216",2015-06-01,"Misc_Income",7824.3,"2016","3","1","Jun","FY15 Q4"
"217",2015-07-01,"Misc_Income",3947.36,"2016","4","2","Jul","FY15 Q4"
"218",2015-08-01,"Misc_Income",5471.65,"2016","5","2","Aug","FY15 Q4"
"219",2015-09-01,"Misc_Income",3315.72,"2016","6","2","Sep","FY15 Q4"
"220",2015-10-01,"Misc_Income",4078.28,"2016","7","3","Oct","FY15 Q4"
"221",2015-11-01,"Misc_Income",3239.52,"2016","8","3","Nov","FY15 Q4"
"222",2015-12-01,"Misc_Income",4114.3,"2016","9","3","Dec","FY15 Q4"
"223",2016-01-01,"Misc_Income",2818.44,"2016","10","4","Jan","FY15 Q4"
"224",2016-02-01,"Misc_Income",2944.24,"2016","11","4","Feb","FY15 Q4"
"225",2016-03-01,"Misc_Income",4105.18,"2016","12","4","Mar","FY15 Q4"
"226",2016-04-01,"Misc_Income",4956.62,"2017","1","1","Apr","FY15 Q4"
"227",2016-05-01,"Misc_Income",5345.31,"2017","2","1","May","FY15 Q4"
"228",2016-06-01,"Misc_Income",6902.15,"2017","3","1","Jun","FY15 Q4"
"229",2016-07-01,"Misc_Income",7783,"2017","4","2","Jul","FY15 Q4"
"230",2016-08-01,"Misc_Income",5406.12,"2017","5","2","Aug","FY15 Q4"
"231",2016-09-01,"Misc_Income",5275.52,"2017","6","2","Sep","FY15 Q4"
"232",2016-10-01,"Misc_Income",5323.73,"2017","7","3","Oct","FY15 Q4"
"233",2016-11-01,"Misc_Income",4754.98,"2017","8","3","Nov","FY15 Q4"
"234",2016-12-01,"Misc_Income",5164.62,"2017","9","3","Dec","FY15 Q4"
"235",2017-01-01,"Misc_Income",4374.47,"2017","10","4","Jan","FY15 Q4"
"236",2017-02-01,"Misc_Income",4653.36,"2017","11","4","Feb","FY15 Q4"
"237",2017-03-01,"Misc_Income",5275.82,"2017","12","4","Mar","FY15 Q4"
"238",2017-04-01,"Misc_Income",5237.12,"2018","1","1","Apr","FY15 Q4"
"239",2017-05-01,"Misc_Income",5336.11,"2018","2","1","May","FY15 Q4"
"240",2017-06-01,"Misc_Income",6599.57,"2018","3","1","Jun","FY15 Q4"
"241",2017-07-01,"Misc_Income",5870.12,"2018","4","2","Jul","FY15 Q4"
"242",2017-08-01,"Misc_Income",6110.4,"2018","5","2","Aug","FY15 Q4"
"243",2017-09-01,"Misc_Income",6482.68,"2018","6","2","Sep","FY15 Q4"
"244",2017-10-01,"Misc_Income",5400.47,"2018","7","3","Oct","FY15 Q4"
"245",2017-11-01,"Misc_Income",5399.35,"2018","8","3","Nov","FY15 Q4"
"246",2017-12-01,"Misc_Income",4348.77,"2018","9","3","Dec","FY15 Q4"
"247",2018-01-01,"Misc_Income",4931.39,"2018","10","4","Jan","FY15 Q4"
"248",2018-02-01,"Misc_Income",5145.3,"2018","11","4","Feb","FY15 Q4"
"249",2018-03-01,"Misc_Income",6076.77,"2018","12","4","Mar","FY15 Q4"
"250",2018-04-01,"Misc_Income",6476.26,"2019","1","1","Apr","FY15 Q4"
"251",2018-05-01,"Misc_Income",7925.37,"2019","2","1","May","FY15 Q4"
"252",2018-06-01,"Misc_Income",8250.11,"2019","3","1","Jun","FY15 Q4"
"253",2015-01-01,"UBox_Net",0,"2015","10","4","Jan","FY15 Q4"
"254",2015-02-01,"UBox_Net",0,"2015","11","4","Feb","FY15 Q4"
"255",2015-03-01,"UBox_Net",303.45,"2015","12","4","Mar","FY15 Q4"
"256",2015-04-01,"UBox_Net",1296.85,"2016","1","1","Apr","FY15 Q4"
"257",2015-05-01,"UBox_Net",1786.26,"2016","2","1","May","FY15 Q4"
"258",2015-06-01,"UBox_Net",3320.99,"2016","3","1","Jun","FY15 Q4"
"259",2015-07-01,"UBox_Net",5564.59,"2016","4","2","Jul","FY15 Q4"
"260",2015-08-01,"UBox_Net",5198.48,"2016","5","2","Aug","FY15 Q4"
"261",2015-09-01,"UBox_Net",3914.39,"2016","6","2","Sep","FY15 Q4"
"262",2015-10-01,"UBox_Net",4545.84,"2016","7","3","Oct","FY15 Q4"
"263",2015-11-01,"UBox_Net",6146.98,"2016","8","3","Nov","FY15 Q4"
"264",2015-12-01,"UBox_Net",6016.39,"2016","9","3","Dec","FY15 Q4"
"265",2016-01-01,"UBox_Net",5038.53,"2016","10","4","Jan","FY15 Q4"
"266",2016-02-01,"UBox_Net",5431.76,"2016","11","4","Feb","FY15 Q4"
"267",2016-03-01,"UBox_Net",4612.92,"2016","12","4","Mar","FY15 Q4"
"268",2016-04-01,"UBox_Net",7690.99,"2017","1","1","Apr","FY15 Q4"
"269",2016-05-01,"UBox_Net",10769.16,"2017","2","1","May","FY15 Q4"
"270",2016-06-01,"UBox_Net",17823.3,"2017","3","1","Jun","FY15 Q4"
"271",2016-07-01,"UBox_Net",23991.45,"2017","4","2","Jul","FY15 Q4"
"272",2016-08-01,"UBox_Net",20442.03,"2017","5","2","Aug","FY15 Q4"
"273",2016-09-01,"UBox_Net",17100.2,"2017","6","2","Sep","FY15 Q4"
"274",2016-10-01,"UBox_Net",15823.19,"2017","7","3","Oct","FY15 Q4"
"275",2016-11-01,"UBox_Net",14156.34,"2017","8","3","Nov","FY15 Q4"
"276",2016-12-01,"UBox_Net",13898.55,"2017","9","3","Dec","FY15 Q4"
"277",2017-01-01,"UBox_Net",11814.43,"2017","10","4","Jan","FY15 Q4"
"278",2017-02-01,"UBox_Net",11638.15,"2017","11","4","Feb","FY15 Q4"
"279",2017-03-01,"UBox_Net",12380.43,"2017","12","4","Mar","FY15 Q4"
"280",2017-04-01,"UBox_Net",16753.37,"2018","1","1","Apr","FY15 Q4"
"281",2017-05-01,"UBox_Net",22952.92,"2018","2","1","May","FY15 Q4"
"282",2017-06-01,"UBox_Net",22392.95,"2018","3","1","Jun","FY15 Q4"
"283",2017-07-01,"UBox_Net",29777,"2018","4","2","Jul","FY15 Q4"
"284",2017-08-01,"UBox_Net",28508.05,"2018","5","2","Aug","FY15 Q4"
"285",2017-09-01,"UBox_Net",25683.94,"2018","6","2","Sep","FY15 Q4"
"286",2017-10-01,"UBox_Net",22603.23,"2018","7","3","Oct","FY15 Q4"
"287",2017-11-01,"UBox_Net",14050.49,"2018","8","3","Nov","FY15 Q4"
"288",2017-12-01,"UBox_Net",15983.12,"2018","9","3","Dec","FY15 Q4"
"289",2018-01-01,"UBox_Net",13145.96,"2018","10","4","Jan","FY15 Q4"
"290",2018-02-01,"UBox_Net",9914.36,"2018","11","4","Feb","FY15 Q4"
"291",2018-03-01,"UBox_Net",17533.27,"2018","12","4","Mar","FY15 Q4"
"292",2018-04-01,"UBox_Net",14145.76,"2019","1","1","Apr","FY15 Q4"
"293",2018-05-01,"UBox_Net",23228.65,"2019","2","1","May","FY15 Q4"
"294",2018-06-01,"UBox_Net",27942.88,"2019","3","1","Jun","FY15 Q4"
"295",2015-01-01,"UMove_Net",4095.66,"2015","10","4","Jan","FY15 Q4"
"296",2015-02-01,"UMove_Net",8753.51,"2015","11","4","Feb","FY15 Q4"
"297",2015-03-01,"UMove_Net",21978,"2015","12","4","Mar","FY15 Q4"
"298",2015-04-01,"UMove_Net",26930.72,"2016","1","1","Apr","FY15 Q4"
"299",2015-05-01,"UMove_Net",58188.55,"2016","2","1","May","FY15 Q4"
"300",2015-06-01,"UMove_Net",66302.24,"2016","3","1","Jun","FY15 Q4"
"301",2015-07-01,"UMove_Net",82071.74,"2016","4","2","Jul","FY15 Q4"
"302",2015-08-01,"UMove_Net",87803.6,"2016","5","2","Aug","FY15 Q4"
"303",2015-09-01,"UMove_Net",61970.85,"2016","6","2","Sep","FY15 Q4"
"304",2015-10-01,"UMove_Net",61292.72,"2016","7","3","Oct","FY15 Q4"
"305",2015-11-01,"UMove_Net",48326.68,"2016","8","3","Nov","FY15 Q4"
"306",2015-12-01,"UMove_Net",60253.47,"2016","9","3","Dec","FY15 Q4"
"307",2016-01-01,"UMove_Net",48630.32,"2016","10","4","Jan","FY15 Q4"
"308",2016-02-01,"UMove_Net",45840.1,"2016","11","4","Feb","FY15 Q4"
"309",2016-03-01,"UMove_Net",56587.79,"2016","12","4","Mar","FY15 Q4"
"310",2016-04-01,"UMove_Net",78900.66,"2017","1","1","Apr","FY15 Q4"
"311",2016-05-01,"UMove_Net",102439.71,"2017","2","1","May","FY15 Q4"
"312",2016-06-01,"UMove_Net",99021.59,"2017","3","1","Jun","FY15 Q4"
"313",2016-07-01,"UMove_Net",104960.98,"2017","4","2","Jul","FY15 Q4"
"314",2016-08-01,"UMove_Net",125381.57,"2017","5","2","Aug","FY15 Q4"
"315",2016-09-01,"UMove_Net",90690.76,"2017","6","2","Sep","FY15 Q4"
"316",2016-10-01,"UMove_Net",78791.26,"2017","7","3","Oct","FY15 Q4"
"317",2016-11-01,"UMove_Net",76932.41,"2017","8","3","Nov","FY15 Q4"
"318",2016-12-01,"UMove_Net",79772.8,"2017","9","3","Dec","FY15 Q4"
"319",2017-01-01,"UMove_Net",69314.64,"2017","10","4","Jan","FY15 Q4"
